,token,lisa
0,sidelight,-0.02454945956563671
1,relativity,0.03852296306711951
2,ether,0.05221032603763584
3,theory,0.01942456951996953
4,relativity,0.03378271883982554
5,address,0.0035076389327936466
6,deliver,-0.015354876746150194
7,may,-0.01972606332087936
8,th,-0.02257056376984612
9,university,0.0042127333316849015
10,leyden,-0.0029239860486374313
11,come,0.011191037078464524
12,alongside,-0.03869917839401041
13,idea,0.0418898191098421
14,ponderable,0.0018747518216426936
15,matter,0.020208400529143255
16,derive,0.008658896585914433
17,abstraction,0.012892749405052141
18,everyday,-0.010658015999828954
19,life,0.0042843840271975285
20,physicist,0.0317334200948779
21,set,-0.021074608045303943
22,idea,0.03130474675621267
23,existence,0.0021480848407245765
24,another,-0.0018012972048853024
25,kind,-0.0014740667694112652
26,matter,0.024355309121092118
27,ether,0.013769717792860302
28,explanation,0.02205899980502538
29,probably,0.011704509139540357
30,seek,0.01785399146040712
31,phenomenon,0.0012159174600263353
32,give,0.014914147090753073
33,rise,0.012088017079538362
34,theory,-0.007962606621586071
35,action,0.020118543156281025
36,distance,-0.012514016585209054
37,property,-0.008017653612212523
38,light,-0.00826148452209565
39,lead,0.008007973460787124
40,undulatory,-0.02194357536426752
41,theory,-0.01497782203638804
42,let,0.004098409410069395
43,u,0.01175640396779504
44,devote,0.0023327335747901816
45,little,0.0244191857847271
46,consideration,0.009287754796766322
47,two,-0.003781820949630165
48,subject,-0.00031579306777244676
49,outside,0.007772953529058395
50,physic,-0.026233168727628625
51,know,0.01127271280501287
52,nothing,0.021628880032497383
53,action,0.060206271858846104
54,distance,0.006314729353751351
55,try,0.025418939257008895
56,connect,0.013497835048904087
57,effect,0.019258564166180284
58,experience,0.01338626819216973
59,natural,-0.0023470029589534006
60,object,-0.022745302193930766
61,afford,0.008854050239778187
62,u,0.017096852254797786
63,seem,0.00720455153901171
64,first,-0.012877102711606648
65,mutual,0.0035481572172004774
66,action,0.05594329347032835
67,immediate,0.030432523293206785
68,contact,0.04131383621038649
69,eg,-0.011074324722350874
70,communication,0.015529561347161477
71,motion,-0.0007474914129769969
72,impact,0.04348463671342067
73,push,0.05556566062074996
74,pull,0.04683759765475641
75,heat,0.020852164567048154
76,induce,0.005508641207715167
77,combustion,-0.0017282607603497505
78,mean,0.0011211092807845793
79,flame,0.019929155371258056
80,etc,0.00938510468040845
81,true,-0.012859116450574413
82,even,0.016085536981245003
83,everyday,0.04963484955844029
84,experience,0.04612813126659439
85,weight,0.033999025556950196
86,sense,-0.0075248459558435125
87,action,0.03166442797624608
88,distance,0.0003209598570263351
89,play,0.02150149780343323
90,important,-0.003983449419425825
91,part,-0.0016435539192948434
92,since,0.007515032238249545
93,daily,0.03459287297876645
94,experience,0.04160938201752874
95,weight,0.03950836690744673
96,body,-0.0006630438547549495
97,meet,0.012719204973072907
98,u,-0.023684636128263842
99,something,0.020812947607318742
100,constant,-0.000498199911528456
101,something,0.01723692098206054
102,link,0.0018125880844839586
103,variable,-0.021123241447602022
104,time,0.03886113921001572
105,place,0.026591969944722463
106,everyday,0.025385202377563254
107,life,0.0412597742749756
108,speculate,-0.012806837862083172
109,gravity,0.018913794656023438
110,therefore,-0.014618122082996244
111,become,0.01606897912794575
112,conscious,0.015526596696302242
113,character,0.00703927839324208
114,action,0.02375918440700402
115,distance,0.02707945507049391
116,newton,0.025566536941383493
117,theory,-0.006480078440411417
118,gravitation,-0.0063065313680646445
119,first,-0.006794854518783787
120,assign,-0.023881177241344788
121,gravity,0.014157799578801415
122,interpret,-0.00685889754723069
123,action,0.017085918863132935
124,distance,0.010901215284970164
125,proceeding,-0.02897181826249635
126,mass,0.0012881918124939824
127,newton,0.046544905489127396
128,theory,0.010256113004885548
129,probably,0.023070733489722616
130,great,0.02149837403572956
131,stride,0.022289975074718055
132,ever,0.019361084804431713
133,make,0.0030225272019613813
